customer_id;transaction_id;line_item;article_id;article_name;model;quantity;gross_price;net_price;net_cost;date;product_group;bundle_group;supplier_id;discount_type;discount_amount;discount_percentage;discount_reason
C00001;T00001;1;K9020;bar_stool;oak;1;133.83;112.46;73.61;2015-09-04;KITC;kitchen_system;S04;0;0.0;0.0;
C00001;T00001;2;C7001;mirror;round;1;117.46;98.71;64.6;2015-09-04;DECO;;S05;1;13.44;0.1144;M
C00002;T00002;1;C7030;curtain;linen;1;81.04;68.1;44.57;2016-04-19;DECO;;S05;0;0.0;0.0;
C00003;T00003;1;B3030;nightstand;harmony;1;182.28;153.17;100.25;2017-02-20;BEDR;bed_system;S01;0;0.0;0.0;
C00004;T00004;1;L1021;coffee_table;glass;1;271.38;228.05;149.26;2016-03-24;LIVI;;S04;0;0.0;0.0;
C00005;T00005;1;B3002;bed;milano;1;1643.89;1381.42;904.14;2017-06-06;BEDR;bed_system;S01;0;0.0;0.0;
C00005;T00005;2;B3011;mattress;premium;1;905.18;760.66;497.85;2017-06-06;BEDR;bed_system;S06;0;0.0;0.0;
C00005;T00005;3;B3030;nightstand;harmony;1;182.01;152.95;100.11;2017-06-06;BEDR;bed_system;S01;0;0.0;0.0;
C00005;T00005;4;B3020;headboard;harmony;1;280.82;235.98;154.45;2017-06-06;BEDR;bed_system;S01;0;0.0;0.0;
C00005;T00005;5;E6010;soundbar;compact;1;252.35;212.06;138.79;2017-06-06;ELEC;;S08;0;0.0;0.0;
C00006;T00006;1;B3003;bed;kompakt;1;741.99;623.52;408.09;2015-09-05;BEDR;bed_system;S02;0;0.0;0.0;
C00006;T00006;2;B3030;nightstand;harmony;1;170.46;143.24;93.75;2015-09-05;BEDR;bed_system;S01;0;0.0;0.0;
C00006;T00006;3;B3020;headboard;harmony;1;285.2;239.67;156.86;2015-09-05;BEDR;bed_system;S01;0;0.0;0.0;
C00006;T00006;4;O4002;desk;compact;1;240.57;202.16;132.31;2015-09-05;OFFI;office_system;S02;0;0.0;0.0;
C00007;T00007;1;D2011;dining_chair;fabric;2;114.09;95.88;62.75;2016-08-12;DINI;dining_system;S03;0;0.0;0.0;
C00008;T00008;1;E6002;tv;smart65;1;1247.27;1048.13;686.0;2016-03-04;ELEC;;S08;0;0.0;0.0;
C00008;T00009;1;L1051;rug;shaggy;1;301.37;253.25;165.75;2016-11-02;LIVI;;S05;0;0.0;0.0;
C00009;T00010;1;G5011;table_lamp;modern;1;46.75;39.29;25.71;2016-06-03;LIGH;;S05;0;0.0;0.0;
C00009;T00011;1;D2020;sideboard;oak;1;623.26;523.75;342.79;2017-05-05;DINI;dining_system;S04;0;0.0;0.0;
C00010;T00012;1;L1001;sofa;harmony;1;1197.4;1006.22;658.57;2017-01-30;LIVI;;S01;0;0.0;0.0;
C00011;T00013;1;D2020;sideboard;oak;1;645.04;542.05;354.77;2015-11-02;DINI;dining_system;S04;0;0.0;0.0;
C00012;T00014;1;G5020;ceiling_light;modern;1;171.69;144.28;94.43;2016-03-22;LIGH;;S05;0;0.0;0.0;
C00013;T00015;1;L1002;sofa;milano;1;1880.48;1580.23;1034.26;2017-02-23;LIVI;;S01;0;0.0;0.0;
C00013;T00015;2;D2012;dining_chair;leather;4;194.14;163.15;106.78;2017-02-23;DINI;dining_system;S01;1;12.9;0.0665;B
C00014;T00016;1;S8020;shoe_rack;compact;1;106.99;89.91;58.85;2015-08-02;STOR;;S02;0;0.0;0.0;
C00014;T00016;2;B3031;nightstand;kompakt;2;117.5;98.74;64.62;2015-08-02;BEDR;bed_system;S02;0;0.0;0.0;
C00015;T00017;1;S8010;cabinet;oak;1;531.39;446.55;292.27;2016-12-19;STOR;;S04;0;0.0;0.0;
C00016;T00018;1;L1030;side_table;oak;1;119.08;100.06;65.49;2016-12-27;LIVI;;S04;0;0.0;0.0;
C00016;T00018;2;L1021;coffee_table;glass;1;281.26;236.36;154.69;2016-12-27;LIVI;;S04;0;0.0;0.0;
C00016;T00019;1;C7030;curtain;linen;1;76.09;63.94;41.85;2016-12-30;DECO;;S05;0;0.0;0.0;
C00016;T00019;2;E6030;dvd_player;basic;1;71.95;60.46;39.57;2016-12-30;ELEC;;S08;0;0.0;0.0;
C00016;T00020;1;D2011;dining_chair;fabric;4;124.42;104.56;68.43;2017-01-29;DINI;dining_system;S03;0;0.0;0.0;
C00016;T00021;1;U1001;garden_chair;rattan;2;120.59;101.34;66.33;2017-06-18;OUTD;garden_system;S09;0;0.0;0.0;
C00017;T00022;1;K9010;kitchen_chair;oak;4;113.26;95.18;62.29;2015-12-15;KITC;kitchen_system;S04;0;0.0;0.0;
C00017;T00022;2;B3020;headboard;harmony;1;288.19;242.18;158.51;2015-12-15;BEDR;bed_system;S01;0;0.0;0.0;
C00018;T00023;1;B3003;bed;kompakt;1;730.11;613.54;401.56;2016-06-02;BEDR;bed_system;S02;0;0.0;0.0;
C00018;T00023;2;B3010;mattress;comfort;1;613.74;515.74;337.55;2016-06-02;BEDR;bed_system;S06;0;0.0;0.0;
C00019;T00024;1;C7020;picture_frame;wood;1;19.8;16.64;10.89;2015-12-17;DECO;;S05;0;0.0;0.0;
C00020;T00025;1;L1050;rug;berber;1;190.72;160.27;104.9;2015-10-22;LIVI;;S05;0;0.0;0.0;
C00021;T00026;1;D2002;dining_table;walnut;1;1247.26;1048.12;685.99;2016-01-24;DINI;dining_system;S04;0;0.0;0.0;
C00021;T00026;2;D2011;dining_chair;fabric;1;124.06;104.25;68.23;2016-01-24;DINI;dining_system;S03;0;0.0;0.0;
C00021;T00026;3;D2020;sideboard;oak;1;671.3;564.12;369.21;2016-01-24;DINI;dining_system;S04;1;99.32;0.148;A
C00021;T00027;1;C7002;mirror;framed;1;173.72;145.98;95.54;2016-02-25;DECO;;S05;0;0.0;0.0;
C00021;T00028;1;O4001;desk;oak;1;404.57;339.97;222.51;2016-04-19;OFFI;office_system;S04;0;0.0;0.0;
C00021;T00028;2;O4011;office_chair;basic;1;172.55;145.0;94.9;2016-04-19;OFFI;office_system;S07;0;0.0;0.0;
C00022;T00029;1;D2020;sideboard;oak;1;661.05;555.51;363.58;2017-02-05;DINI;dining_system;S04;0;0.0;0.0;
C00023;T00030;1;G5030;led_strip;smart;1;37.84;31.8;20.81;2017-01-29;LIGH;;S08;0;0.0;0.0;
C00023;T00030;2;O4002;desk;compact;1;257.98;216.79;141.89;2017-01-29;OFFI;office_system;S02;0;0.0;0.0;
C00023;T00030;3;O4010;office_chair;ergo;1;352.99;296.63;194.15;2017-01-29;OFFI;office_system;S07;0;0.0;0.0;
C00023;T00031;1;E6020;speakers;stereo;1;186.8;156.98;102.74;2017-05-05;ELEC;;S08;0;0.0;0.0;
C00024;T00032;1;U1002;garden_chair;metal;2;85.4;71.76;46.97;2017-05-31;OUTD;garden_system;S09;0;0.0;0.0;
C00025;T00033;1;O4002;desk;compact;1;251.48;211.33;138.31;2017-05-30;OFFI;office_system;S02;1;15.59;0.062;M
C00026;T00034;1;G5011;table_lamp;modern;2;50.29;42.26;27.66;2015-09-24;LIGH;;S05;0;0.0;0.0;
C00027;T00035;1;B3002;bed;milano;1;1579.23;1327.08;868.58;2017-01-31;BEDR;bed_system;S01;2;248.99;0.1577;K
